,t,S,I,R
0,0.0,0.999999,1.0000000000287557e-06,0.0
1,0.6413722960401584,0.999998856070156,1.0959531778925127e-06,4.7976666075832675e-08
2,7.055095256441742,0.9999963902973805,2.7397997434697044e-06,8.699028759901386e-07
3,37.41122991910002,0.9997254995014644,0.00018332225870647096,9.117823982916827e-05
4,53.90792028638551,0.9971245453682014,0.0019159278359335852,0.000959526795865077
5,68.05340017911425,0.978845139750793,0.01402831883767978,0.007126541411527309
6,82.19888007184298,0.8638705594470969,0.08739221826513015,0.04873722228777301
7,94.90519830306675,0.5473989399592852,0.2522121307239612,0.20038892931675356
8,107.90939703923155,0.24372140714520413,0.2874012812817543,0.4688773115730416
9,121.21721209901968,0.12350712086304956,0.18210312133685877,0.6943897578000917
10,135.9975768991911,0.08179788518004565,0.08665002960479108,0.8315520852151633
11,155.492142925007,0.06571346456845793,0.02900936687715905,0.9052771685543831
12,172.42251641680988,0.06145396824043036,0.010892905072392156,0.9276531266871776
13,189.58210570295702,0.05992097046402192,0.003999271446054846,0.9360797580899234
14,206.74169498910416,0.05936851723935889,0.0014634213409666862,0.9391680614196746
15,224.09786125973406,0.059166422278977525,0.000528769558040304,0.9403048081629823
16,242.46115643744955,0.059091247364921225,0.00018012939054659084,0.9407286232445323
17,262.8216176489371,0.05906422861821144,5.469497321150066e-05,0.9408810764085772
18,286.60271844155784,0.05905540744838829,1.3727880217900926e-05,0.940930864671394
19,315.71892610802024,0.059053027031470764,2.6715281612028108e-06,0.9409443014403682
20,353.0434949174133,0.05905255558493256,4.81724918631892e-07,0.940946962690149
21,403.2137370482856,0.05905250513587215,2.473867859396724e-07,0.940947247477342
22,470.9174438644194,0.05905262157709006,7.882269636498706e-07,0.9409465901959464
23,528.2935472842777,0.05905264324982389,8.88812486244383e-07,0.94094646793769
24,588.3086833308902,0.0590527368970552,1.3236755191707146e-06,0.9409459394274258
25,600.0,0.05905259527245142,6.65874716504589e-07,0.9409467388528322
